#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Oct 12 10:33:58 EDT 2019,100,100,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMinTest1+ DelMinTest2+ DelMinTest3+ DelMinTest4+ EverythingTest+ GetMinTest1+ GetMinTest2+ GetMinTest3+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , , , ,
1,Sat Oct 12 10:36:10 EDT 2019,83,-17,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,EverythingTest- GetMinTest1- GetMinTest3- , ,
2,Sat Oct 12 11:01:57 EDT 2019,77,-6,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest2- EverythingTest GetMinTest3 , ,
2,Sat Oct 12 11:01:57 EDT 2019,77,-6,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest2- EverythingTest GetMinTest3 , ,
3,Sat Oct 12 11:02:19 EDT 2019,66,-11,Assignment3Suite,BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2- DelMinTest2 EverythingTest GetMinTest1- GetMinTest3 , ,
4,Sat Oct 12 11:02:39 EDT 2019,66,0,Assignment3Suite,BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2 DelMinTest2 EverythingTest GetMinTest1 GetMinTest3 , ,
5,Sat Oct 12 11:02:48 EDT 2019,61,-5,Assignment3Suite,DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2 BuildTest3- DelMinTest2 EverythingTest GetMinTest1 GetMinTest3 , ,
6,Sat Oct 12 11:05:39 EDT 2019,83,22,Assignment3Suite,BuildTest2+ BuildTest3+ DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
7,Sat Oct 12 11:07:11 EDT 2019,83,0,DelMinTestSuite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
8,Sat Oct 12 22:06:47 EDT 2019,83,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
9,Sat Oct 12 22:07:41 EDT 2019,83,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
10,Sat Oct 12 22:07:56 EDT 2019,83,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
11,Sat Oct 12 22:08:33 EDT 2019,83,0,Assignment3Suite,BuildTest1+ BuildTest2 DelMinTest1 DelMinTest2+ DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest3- EverythingTest GetMinTest3- , ,
12,Sat Oct 12 22:09:00 EDT 2019,83,0,Assignment3Suite,BuildTest2 BuildTest3+ DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest2- EverythingTest , ,
13,Sun Oct 13 09:46:15 EDT 2019,83,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
14,Sun Oct 13 09:46:25 EDT 2019,83,0,EverythingTest,BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 EverythingTest , ,
